"pre","empo_1","empo_2","empo_3","p-all","d:Archaea, p:""Crenarchaeota""","d:Archaea, p:""Euryarchaeota""","d:Archaea, p:""Korarchaeota""","d:Archaea, p:""Thaumarchaeota""","d:Archaea, p:Aenigmarchaeota","d:Archaea, p:Diapherotrites","d:Archaea, p:Nanohaloarchaeota","d:Archaea, p:Pacearchaeota","d:Archaea, p:Woesearchaeota","d:Bacteria, p:""Acidobacteria""","d:Bacteria, p:""Actinobacteria""","d:Bacteria, p:""Aquificae""","d:Bacteria, p:""Armatimonadetes""","d:Bacteria, p:""Bacteroidetes""","d:Bacteria, p:""Caldiserica""","d:Bacteria, p:""Chlamydiae""","d:Bacteria, p:""Chlorobi""","d:Bacteria, p:""Chloroflexi""","d:Bacteria, p:""Chrysiogenetes""","d:Bacteria, p:""Deferribacteres""","d:Bacteria, p:""Deinococcus-Thermus""","d:Bacteria, p:""Dictyoglomi""","d:Bacteria, p:""Elusimicrobia""","d:Bacteria, p:""Fibrobacteres""","d:Bacteria, p:""Fusobacteria""","d:Bacteria, p:""Gemmatimonadetes""","d:Bacteria, p:""Lentisphaerae""","d:Bacteria, p:""Planctomycetes""","d:Bacteria, p:""Proteobacteria""","d:Bacteria, p:""Spirochaetes""","d:Bacteria, p:""Synergistetes""","d:Bacteria, p:""Tenericutes""","d:Bacteria, p:""Thermodesulfobacteria""","d:Bacteria, p:""Thermotogae""","d:Bacteria, p:""Verrucomicrobia""","d:Bacteria, p:Aminicenantes","d:Bacteria, p:BRC1","d:Bacteria, p:candidate_division_WPS-1","d:Bacteria, p:candidate_division_WPS-2","d:Bacteria, p:Candidatus_Calescamantes","d:Bacteria, p:Candidatus_Saccharibacteria","d:Bacteria, p:Cloacimonetes","d:Bacteria, p:Cyanobacteria/Chloroplast","d:Bacteria, p:Firmicutes","d:Bacteria, p:Hydrogenedentes","d:Bacteria, p:Ignavibacteriae","d:Bacteria, p:Latescibacteria","d:Bacteria, p:Marinimicrobia","d:Bacteria, p:Microgenomates","d:Bacteria, p:Nitrospinae","d:Bacteria, p:Nitrospirae","d:Bacteria, p:Omnitrophica","d:Bacteria, p:Parcubacteria","d:Bacteria, p:Poribacteria","d:Bacteria, p:SR1","Un","FALSE"
0.00621946136501735,"Free-living","Non-saline","Aerosol (non-saline)",405000,0,284,0,336,0,0,0,0,10,5438,40386,0,400,51451,0,92,2,387,0,0,261,0,14,36,4596,781,29,828,112764,873,93,263,0,492,2477,5,8,268,24,0,84,13,62071,112886,4,238,17,0,1,0,53,0,14,50,237,6734,FALSE
0.000853873173694732,"Host-associated","Animal","Animal corpus",1610000,0,58,0,32,0,0,0,0,8,3359,114765,1,54,30332,0,29,0,187,0,4,238,0,0,4,2338,338,5,320,1043061,33,21,173,0,0,1372,0,0,48,4,0,48,0,68829,340656,0,20,5,0,2,0,19,0,430,1,2,3204,FALSE
0.0169326233706298,"Host-associated","Animal","Animal distal gut",4765000,0,18306,0,530,0,0,0,0,0,11081,207943,0,284,1177873,0,943,2,960,0,111,805,1,1842,1480,119084,286,2725,8500,1005540,56205,1348,26216,0,0,78810,0,4,153,1,0,352,0,45553,1885226,0,1691,20,0,118,10,64,0,23,8,231,110671,FALSE
0.0296217082354404,"Host-associated","Animal","Animal proximal gut",1770000,0,9288,0,78,0,0,0,0,0,1201,91899,0,2,425465,0,25,4,125,0,39,126,0,5,3561,6066,12,653,10162,255357,59901,3697,11858,0,0,51466,0,1,9,0,0,16,0,44463,761736,0,124,2,0,13,20,4,0,17,0,47,32558,FALSE
0.00141767049315481,"Host-associated","Animal","Animal secretion",4585000,0,994,0,876,0,0,0,0,8,33443,415710,0,488,637747,0,436,35,590,0,291,4075,3,52,67,220355,4269,16,2317,1642199,6205,759,9442,0,16,6457,0,106,755,6,0,350,0,55942,1506791,0,52,90,0,2,2,408,1,25,56,3219,30345,FALSE
0.00503454269264899,"Host-associated","Animal","Animal surface",4935000,0,1320,0,928,0,0,0,0,112,17709,665119,6,1082,485173,0,668,83,2514,0,192,24965,4,222,119,63452,3316,21,5155,2314031,1726,172,8994,0,32,24708,0,308,1320,2,0,182,9,128819,1152104,3,363,185,9,52,1,427,4,246,265,1573,27305,FALSE
0.00348070551223267,"Free-living","Saline","Hypersaline (saline)",65000,0,23357,0,54,0,0,754,0,102,801,3182,0,0,8080,0,8,0,264,0,16,64,0,0,7,3,0,21,305,19582,616,6,5,0,6,208,0,0,0,0,0,0,0,586,1663,0,6,39,0,0,0,6,0,1,0,16,5242,FALSE
0.00110347570397512,"Host-associated","Plant","Plant corpus",615000,0,89,0,202,0,0,0,0,0,1199,26806,0,104,15103,0,30,5,137,0,0,392,0,0,18,2193,130,0,517,69262,16,1,5,0,0,677,0,44,90,0,0,33,0,475984,20448,0,0,0,0,5,0,18,0,6,2,0,1484,FALSE
0.0557232935210516,"Host-associated","Plant","Plant rhizosphere",2760000,0,32564,0,14347,0,0,0,1,3988,366816,104074,0,19987,261433,0,1810,2645,84807,0,111,220,4,5270,3400,153,30606,37,51727,1050376,19718,98,586,0,15,140301,144,1814,10895,17,0,210,0,147636,114328,308,11155,10877,0,1947,0,15386,211,6622,975,197,242184,FALSE
0.047522982161184,"Host-associated","Plant","Plant surface",4765000,0,60,0,338,0,0,0,0,0,9299,134573,2,153,703866,0,156,5,953,0,0,5016,0,12,21,1832,922,45,265150,2894210,301,1,250,0,0,225227,0,2,144,0,0,4,0,485496,9121,15,1,211,4,70,590,261,0,583,1,433,25672,FALSE
