sample,group1,group2,GC,PQ,NOU,CH,N,GH,FJ,MP,EP,KT,NT,M,IM,EG,HJ,UW,NU,IQ,K,O,all,FL,DKT,CO,CP,T,P,BQ,CI,OT,FG,C,FP,OU,H,MU,A,F,G,E,I,BK,EQ,Z,DJ,V,DTZ,S,Q,L,GM,FH,B,KO,J,U,DZ,NPTU,D
GCA_000019665.1,soil,Methane-emitting geothermal field,45.5,0,0,0,0.001152074,0.000576037,0.002304147,0,0.000576037,0,0,0.078341014,0,0,0,0,0,0.000576037,0.025345622,0.043778802,0.000576037,0,0,0.000576037,0.001152074,0.023041475,0.05875576,0.000576037,0,0.000576037,0.001152074,0.096774194,0.001152074,0.000576037,0.047235023,0.000576037,0,0.033410138,0.051267281,0.080645161,0.019009217,0,0.000576037,0,0,0.011520737,0,0.25921659,0.008640553,0.05702765,0,0,0,0.000576037,0.069124424,0.016129032,0,0,0.007488479
GCA_000019965.1,soil,anoxic rice paddy,65.3,0,0.000246184,0,0.008124077,0,0.000492368,0,0,0,0.001477105,0.056376169,0.000246184,0.000984737,0,0,0.001230921,0.001230921,0.048498277,0.032496307,0.000246184,0.000246184,0,0.000246184,0.001723289,0.067208272,0.045297883,0.000246184,0,0,0.000492368,0.052683407,0.000246184,0.000246184,0.024618415,0.000492368,0,0.016248154,0.067208272,0.05760709,0.01723289,0,0,0,0,0.025849335,0,0.36459872,0.01427868,0.032496307,0.000984737,0,0.000246184,0.000492368,0.039635647,0.011816839,0.000492368,0,0.005416051
GCA_000020225.1,feces,homo,55.8,0,0.000550964,0,0.000550964,0,0.000550964,0.000550964,0,0,0,0.07107438,0.001101928,0.001101928,0,0,0.001652893,0.001652893,0.031955923,0.03415978,0.000550964,0,0,0,0,0.016528926,0.056198347,0,0,0,0.000550964,0.055096419,0.000550964,0.000550964,0.045179063,0.003305785,0,0.024242424,0.05785124,0.080991736,0.022038567,0,0,0,0,0.020385675,0,0.309090909,0.004958678,0.057300275,0.000550964,0,0.000550964,0.000550964,0.074380165,0.016528926,0,0,0.007162534
GCA_000025905.1,seawater,hard coral x Galaxea fascicularis,53.6,0,0.000372717,0.000372717,0.001490868,0,0.000372717,0,0.000745434,0,0.000372717,0.052553112,0.000372717,0.001118151,0,0,0.001490868,0.001118151,0.046589638,0.030562803,0.000372717,0,0,0.000372717,0.000372717,0.039135296,0.061125606,0.000372717,0,0,0.000745434,0.053671264,0.000372717,0.000372717,0.034662691,0.000745434,0,0.022363026,0.054416698,0.055907566,0.019754007,0,0,0.000372717,0,0.013045099,0,0.377189713,0.010063362,0.038762579,0.001863586,0,0,0.000372717,0.050689527,0.018635855,0.000745434,0,0.005963474
GCA_000155695.1,non,,54.2,0,0.000251953,0.000251953,0.00856639,0,0.000503905,0,0.000503905,0.000503905,0.001259763,0.052910053,0,0.001007811,0.000503905,0,0.001259763,0.001259763,0.044091711,0.034265558,0.000251953,0.000251953,0,0.000251953,0.000503905,0.059712774,0.0526581,0.000251953,0,0,0.000755858,0.052910053,0.000251953,0.000251953,0.0239355,0.000251953,0.000251953,0.01814059,0.063995969,0.058201058,0.017384732,0,0.000755858,0.000251953,0.000251953,0.021415974,0,0.361048123,0.009826153,0.043587805,0.000755858,0,0.000251953,0.000251953,0.040312421,0.018392542,0.000755858,0,0.0047871
GCA_000171235.2,gut,wood-feeding termite(Host: Termite),60.9,0,0,0,0.008721723,0,0.000272554,0,0.000272554,0.000545108,0.000817661,0.04197329,0.000272554,0.000272554,0,0.000272554,0.001635323,0.000817661,0.082856364,0.023712183,0.000272554,0.000817661,0,0.000272554,0.000817661,0.026165168,0.035977105,0,0,0,0.000545108,0.047424366,0.000272554,0.000545108,0.025347506,0.005178523,0,0.017443445,0.067865904,0.064322704,0.019623876,0,0,0,0,0.014717907,0,0.373126192,0.011719815,0.058053966,0.000545108,0,0.000272554,0.000272554,0.040065413,0.020441537,0.000272554,0,0.005178523
GCA_000172155.1,freshwater,lake,60.3,0,0.000392696,0.000392696,0.000785392,0,0.000392696,0,0,0.000392696,0.001178088,0.056548203,0,0.000392696,0,0.000196348,0.001570783,0.000785392,0.046338111,0.022580012,0.000196348,0.000196348,0,0.000392696,0,0.047123503,0.045749067,0.000196348,0,0,0.000196348,0.034753583,0.000196348,0.000785392,0.019634793,0.003141567,0.000196348,0.010799136,0.041233065,0.045356371,0.017867661,0,0.000589044,0,0,0.014726095,0,0.474965639,0.008835657,0.047319851,0.000392696,0,0.000392696,0.000196348,0.031022973,0.01708227,0.000785392,0,0.003730611
GCA_000172555.1,soil,,52.6,0,0.000198255,0.000198255,0.000793021,0.000198255,0.000793021,0,0,0.000396511,0.000991277,0.05035686,0,0.000396511,0,0,0.001189532,0.000793021,0.039849326,0.035289453,0.000198255,0.000396511,0,0.000198255,0,0.073750991,0.034099921,0.000198255,0,0.000396511,0.000396511,0.053132435,0.000198255,0.000198255,0.020222046,0.002775575,0,0.013679619,0.051942902,0.045400476,0.014472641,0,0.000198255,0,0,0.017644726,0,0.439928628,0.016058684,0.034298176,0.000396511,0.000198255,0.000198255,0.000198255,0.029143537,0.012490087,0.00257732,0,0.003568596
GCA_000242935.3,non,,63.4,0,0.000217865,0,0.006753813,0,0.000217865,0,0.00043573,0.00087146,0.00087146,0.039215686,0.000217865,0.000653595,0,0,0.001742919,0.00087146,0.096949891,0.023311547,0.000217865,0.000217865,0,0.000217865,0.000653595,0.029411765,0.044880174,0,0,0,0.000653595,0.043572985,0.000217865,0.000217865,0.020697168,0.006753813,0,0.013507625,0.068409586,0.058605664,0.018082789,0,0,0,0,0.015250545,0,0.393028322,0.010457516,0.031590414,0.00043573,0,0.000217865,0.00043573,0.035076253,0.029847495,0.000217865,0,0.004793028
GCA_000243495.3,non,,63.2,0,0.000229516,0,0.007114987,0,0.000229516,0,0.000229516,0.000229516,0.000688547,0.036722515,0.000229516,0.000688547,0,0.000688547,0.001836126,0.000918063,0.096396603,0.020426899,0.000229516,0.000229516,0,0.000229516,0.000688547,0.028689465,0.041083314,0,0,0,0.000459031,0.04291944,0.000229516,0.000688547,0.021574478,0.004131283,0,0.014689006,0.069543264,0.059674088,0.014918522,0,0,0,0.000229516,0.016066101,0,0.392471884,0.010557723,0.047509754,0.000229516,0,0.000229516,0.000688547,0.035345421,0.025017214,0.000229516,0,0.00481983
