sample,PQ,NOU,CH,N,GH,FJ,MP,EP,KT,NT,M,IM,EG,HJ,UW,NU,IQ,K,O,EggNOG ID,FL,DKT,CO,CP,T,P,BQ,CI,OT,FG,C,FP,OU,H,MU,A,F,G,E,I,BK,EQ,Z,DJ,V,DTZ,S,Q,L,GM,FH,B,KO,J,U,DZ,NPTU,D
GCA_000019665.1,0,0,0,0.001152073732718894,0.000576036866359447,0.002304147465437788,0,0.000576036866359447,0,0,0.07834101382488479,0,0,0,0,0,0.000576036866359447,0.02534562211981567,0.04377880184331797,0.000576036866359447,0,0,0.000576036866359447,0.001152073732718894,0.02304147465437788,0.0587557603686636,0.000576036866359447,0,0.000576036866359447,0.001152073732718894,0.0967741935483871,0.001152073732718894,0.000576036866359447,0.04723502304147465,0.000576036866359447,0,0.03341013824884793,0.051267281105990783,0.08064516129032258,0.019009216589861752,0,0.000576036866359447,0,0,0.01152073732718894,0,0.25921658986175117,0.008640552995391706,0.057027649769585256,0,0,0,0.000576036866359447,0.06912442396313365,0.016129032258064516,0,0,0.007488479262672811
GCA_000019965.1,0,0.0002461841457410143,0,0.00812407680945347,0,0.0004923682914820286,0,0,0,0.0014771048744460858,0.05637616937469227,0.0002461841457410143,0.0009847365829640572,0,0,0.0012309207287050715,0.0012309207287050715,0.04849827671097981,0.03249630723781388,0.0002461841457410143,0.0002461841457410143,0,0.0002461841457410143,0.0017232890201870998,0.0672082717872969,0.04529788281634663,0.0002461841457410143,0,0,0.0004923682914820286,0.05268340718857706,0.0002461841457410143,0.0002461841457410143,0.024618414574101428,0.0004923682914820286,0,0.01624815361890694,0.0672082717872969,0.05760709010339734,0.017232890201871,0,0,0,0,0.0258493353028065,0,0.36459871984244213,0.014278680452978828,0.03249630723781388,0.0009847365829640572,0,0.0002461841457410143,0.0004923682914820286,0.0396356474643033,0.011816838995568686,0.0004923682914820286,0,0.0054160512063023145
GCA_000020225.1,0,0.0005509641873278236,0,0.0005509641873278236,0,0.0005509641873278236,0.0005509641873278236,0,0,0,0.07107438016528926,0.0011019283746556473,0.0011019283746556473,0,0,0.001652892561983471,0.001652892561983471,0.031955922865013774,0.03415977961432507,0.0005509641873278236,0,0,0,0,0.01652892561983471,0.05619834710743802,0,0,0,0.0005509641873278236,0.05509641873278237,0.0005509641873278236,0.0005509641873278236,0.045179063360881545,0.003305785123966942,0,0.024242424242424242,0.05785123966942149,0.08099173553719008,0.02203856749311295,0,0,0,0,0.020385674931129475,0,0.3090909090909091,0.0049586776859504135,0.05730027548209366,0.0005509641873278236,0,0.0005509641873278236,0.0005509641873278236,0.0743801652892562,0.01652892561983471,0,0,0.007162534435261708
GCA_000025905.1,0,0.0003727171077152441,0.0003727171077152441,0.0014908684308609765,0,0.0003727171077152441,0,0.0007454342154304882,0,0.0003727171077152441,0.05255311218784942,0.0003727171077152441,0.0011181513231457323,0,0,0.0014908684308609765,0.0011181513231457323,0.04658963846440552,0.03056280283265002,0.0003727171077152441,0,0,0.0003727171077152441,0.0003727171077152441,0.03913529631010063,0.06112560566530004,0.0003727171077152441,0,0,0.0007454342154304882,0.05367126351099515,0.0003727171077152441,0.0003727171077152441,0.034662691017517705,0.0007454342154304882,0,0.02236302646291465,0.05441669772642564,0.05590756615728662,0.01975400670890794,0,0,0.0003727171077152441,0,0.013045098770033545,0,0.37718971300782705,0.01006336190831159,0.03876257920238539,0.0018635855385762206,0,0,0.0003727171077152441,0.0506895266492732,0.018635855385762207,0.0007454342154304882,0,0.005963473723443906
GCA_000155695.1,0,0.0002519526329050139,0.0002519526329050139,0.008566389518770472,0,0.0005039052658100278,0,0.0005039052658100278,0.0005039052658100278,0.0012597631645250692,0.05291005291005291,0,0.0010078105316200555,0.0005039052658100278,0,0.0012597631645250692,0.0012597631645250692,0.04409171075837742,0.03426555807508189,0.0002519526329050139,0.0002519526329050139,0,0.0002519526329050139,0.0005039052658100278,0.05971277399848828,0.052658100277147894,0.0002519526329050139,0,0,0.0007558578987150416,0.05291005291005291,0.0002519526329050139,0.0002519526329050139,0.023935500125976318,0.0002519526329050139,0.0002519526329050139,0.018140589569160998,0.06399596875787351,0.0582010582010582,0.017384731670445956,0,0.0007558578987150416,0.0002519526329050139,0.0002519526329050139,0.02141597379692618,0,0.36104812295288485,0.009826152683295541,0.0435878054925674,0.0007558578987150416,0,0.0002519526329050139,0.0002519526329050139,0.040312421264802216,0.01839254220206601,0.0007558578987150416,0,0.004787100025195263
GCA_000171235.2,0,0,0,0.00872172254020169,0,0.0002725538293813028,0,0.0002725538293813028,0.0005451076587626056,0.0008176614881439084,0.041973289724720635,0.0002725538293813028,0.0002725538293813028,0,0.0002725538293813028,0.001635322976287817,0.0008176614881439084,0.08285636413191605,0.023712183156173343,0.0002725538293813028,0.0008176614881439084,0,0.0002725538293813028,0.0008176614881439084,0.02616516762060507,0.035977105478331974,0,0,0,0.0005451076587626056,0.047424366312346686,0.0002725538293813028,0.0005451076587626056,0.025347506132461162,0.005178522758244753,0,0.01744344508040338,0.0678659035159444,0.06432270373398746,0.019623875715453803,0,0,0,0,0.014717906786590351,0,0.37312619242300354,0.01171981466339602,0.0580539656582175,0.0005451076587626056,0,0.0002725538293813028,0.0002725538293813028,0.04006541291905151,0.02044153720359771,0.0002725538293813028,0,0.005178522758244753
GCA_000172155.1,0,0.00039269585705870805,0.00039269585705870805,0.0007853917141174161,0,0.00039269585705870805,0,0,0.00039269585705870805,0.0011780875711761242,0.05654820341645396,0,0.00039269585705870805,0,0.00019634792852935403,0.0015707834282348322,0.0007853917141174161,0.046338111132927545,0.022580011780875712,0.00019634792852935403,0.00019634792852935403,0,0.00039269585705870805,0,0.04712350284704497,0.04574906734733949,0.00019634792852935403,0,0,0.00019634792852935403,0.03475358334969566,0.00019634792852935403,0.0007853917141174161,0.0196347928529354,0.0031415668564696644,0.00019634792852935403,0.01079913606911447,0.041233064991164345,0.04535637149028078,0.017867661496171215,0,0.0005890437855880621,0,0,0.01472609463970155,0,0.4749656391125074,0.00883565678382093,0.04731985077557432,0.00039269585705870805,0,0.00039269585705870805,0.00019634792852935403,0.031022972707637934,0.0170822697820538,0.0007853917141174161,0,0.003730610642057726
GCA_000172555.1,0,0.00019825535289452815,0.00019825535289452815,0.0007930214115781126,0.00019825535289452815,0.0007930214115781126,0,0,0.0003965107057890563,0.0009912767644726407,0.05035685963521015,0,0.0003965107057890563,0,0,0.0011895321173671688,0.0007930214115781126,0.039849325931800156,0.03528945281522601,0.00019825535289452815,0.0003965107057890563,0,0.00019825535289452815,0,0.07375099127676447,0.03409992069785884,0.00019825535289452815,0,0.0003965107057890563,0.0003965107057890563,0.05313243457573354,0.00019825535289452815,0.00019825535289452815,0.020222045995241873,0.0027755749405233942,0,0.013679619349722442,0.05194290245836638,0.045400475812846945,0.014472640761300556,0,0.00019825535289452815,0,0,0.017644726407613005,0,0.43992862807295796,0.01605868358445678,0.03429817605075337,0.0003965107057890563,0.00019825535289452815,0.00019825535289452815,0.00019825535289452815,0.02914353687549564,0.012490087232355274,0.002577319587628866,0,0.0035685963521015066
GCA_000242935.3,0,0.00021786492374727668,0,0.006753812636165577,0,0.00021786492374727668,0,0.00043572984749455336,0.0008714596949891067,0.0008714596949891067,0.0392156862745098,0.00021786492374727668,0.00065359477124183,0,0,0.0017429193899782135,0.0008714596949891067,0.09694989106753812,0.023311546840958607,0.00021786492374727668,0.00021786492374727668,0,0.00021786492374727668,0.00065359477124183,0.029411764705882353,0.044880174291938996,0,0,0,0.00065359477124183,0.04357298474945534,0.00021786492374727668,0.00021786492374727668,0.020697167755991286,0.006753812636165577,0,0.013507625272331155,0.06840958605664488,0.05860566448801743,0.018082788671023965,0,0,0,0,0.015250544662309368,0,0.3930283224400871,0.01045751633986928,0.03159041394335512,0.00043572984749455336,0,0.00021786492374727668,0.00043572984749455336,0.035076252723311545,0.029847494553376906,0.00021786492374727668,0,0.004793028322440087
GCA_000243495.3,0,0.00022951572182694515,0,0.0071149873766353,0,0.00022951572182694515,0,0.00022951572182694515,0.00022951572182694515,0.0006885471654808355,0.036722515492311224,0.00022951572182694515,0.0006885471654808355,0,0.0006885471654808355,0.0018361257746155612,0.0009180628873077806,0.09639660316731696,0.020426899242598117,0.00022951572182694515,0.00022951572182694515,0,0.00022951572182694515,0.0006885471654808355,0.028689465228368145,0.04108331420702318,0,0,0,0.0004590314436538903,0.04291943998163874,0.00022951572182694515,0.0006885471654808355,0.021574477851732842,0.004131282992885013,0,0.01468900619692449,0.06954326371356438,0.05967408767500574,0.014918521918751435,0,0,0,0.00022951572182694515,0.01606610052788616,0,0.3924718843240762,0.010557723204039476,0.04750975441817765,0.00022951572182694515,0,0.00022951572182694515,0.0006885471654808355,0.035345421161349554,0.02501721367913702,0.00022951572182694515,0,0.004819830158365848
